<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.12	00:15:00	7.30822	7.30822	7.30692	7.30706	0	0	0
2025.02.12	00:30:00	7.30714	7.30788	7.30658	7.30701	0	0	0
2025.02.12	00:45:00	7.30701	7.30705	7.30685	7.3069	0	0	0
2025.02.12	01:00:00	7.30802	7.30812	7.30717	7.30774	0	0	0
2025.02.12	01:15:00	7.30774	7.3082	7.30695	7.30738	0	0	0
2025.02.12	01:30:00	7.30758	7.30845	7.30751	7.3083	0	0	0
2025.02.12	01:45:00	7.3083	7.30836	7.30794	7.30818	0	0	0
2025.02.12	02:00:00	7.30819	7.31006	7.30793	7.30971	0	0	0
2025.02.12	02:15:00	7.30971	7.30972	7.30786	7.30921	0	0	0
2025.02.12	02:30:00	7.30921	7.30989	7.30783	7.30866	0	0	0
2025.02.12	02:45:00	7.30866	7.31032	7.30852	7.30996	0	0	0
2025.02.12	03:00:00	7.31	7.31104	7.30992	7.31048	0	0	0
2025.02.12	03:15:00	7.31052	7.31263	7.31044	7.31142	0	0	0
2025.02.12	03:30:00	7.31144	7.31243	7.31049	7.31201	0	0	0
2025.02.12	03:45:00	7.31201	7.31247	7.31034	7.31076	0	0	0
2025.02.12	04:00:00	7.31075	7.31105	7.3085	7.31066	0	0	0
2025.02.12	04:15:00	7.31062	7.31158	7.30933	7.30941	0	0	0
2025.02.12	04:30:00	7.30938	7.31066	7.30851	7.30948	0	0	0
2025.02.12	04:45:00	7.30951	7.31123	7.30907	7.31119	0	0	0
2025.02.12	05:00:00	7.3112	7.31136	7.30958	7.31075	0	0	0
2025.02.12	05:15:00	7.31076	7.31158	7.31005	7.31139	0	0	0
2025.02.12	05:30:00	7.31136	7.31342	7.31129	7.31306	0	0	0
2025.02.12	05:45:00	7.31306	7.31331	7.31208	7.31245	0	0	0
2025.02.12	06:00:00	7.31245	7.31414	7.31242	7.31405	0	0	0
2025.02.12	06:15:00	7.31407	7.31422	7.31332	7.31384	0	0	0
2025.02.12	06:30:00	7.31383	7.3143	7.31365	7.31426	0	0	0
2025.02.12	06:45:00	7.31426	7.31535	7.31399	7.31459	0	0	0
2025.02.12	07:00:00	7.31459	7.31534	7.31356	7.31472	0	0	0
2025.02.12	07:15:00	7.31472	7.31472	7.3125	7.31285	0	0	0
2025.02.12	07:30:00	7.31286	7.31401	7.31272	7.31382	0	0	0
2025.02.12	07:45:00	7.31371	7.31489	7.31303	7.31318	0	0	0
2025.02.12	08:00:00	7.31312	7.31447	7.3129	7.31369	0	0	0
2025.02.12	08:15:00	7.3137	7.31503	7.31327	7.31473	0	0	0
2025.02.12	08:30:00	7.31478	7.3151	7.31208	7.3124	0	0	0
2025.02.12	08:45:00	7.31241	7.31382	7.31088	7.31379	0	0	0
2025.02.12	09:00:00	7.31379	7.31379	7.31154	7.31282	0	0	0
2025.02.12	09:15:00	7.3128	7.313	7.30939	7.31036	0	0	0
2025.02.12	09:30:00	7.31033	7.31321	7.31025	7.31254	0	0	0
2025.02.12	09:45:00	7.31254	7.31317	7.31145	7.31236	0	0	0
2025.02.12	10:00:00	7.31235	7.31318	7.31174	7.31256	0	0	0
2025.02.12	10:15:00	7.31259	7.31475	7.31248	7.31474	0	0	0
2025.02.12	10:30:00	7.31473	7.31478	7.31322	7.31385	0	0	0
2025.02.12	10:45:00	7.31386	7.31417	7.31282	7.31284	0	0	0
2025.02.12	11:00:00	7.31285	7.31356	7.31245	7.31264	0	0	0
2025.02.12	11:15:00	7.31265	7.31265	7.31136	7.31247	0	0	0
2025.02.12	11:30:00	7.31247	7.3133	7.31214	7.3124	0	0	0
2025.02.12	11:45:00	7.31245	7.31323	7.31171	7.31251	0	0	0
2025.02.12	12:00:00	7.31251	7.31359	7.31126	7.31346	0	0	0
2025.02.12	12:15:00	7.31295	7.31427	7.31191	7.31397	0	0	0
2025.02.12	12:30:00	7.31403	7.31466	7.31336	7.31345	0	0	0
2025.02.12	12:45:00	7.31343	7.3145	7.31316	7.31325	0	0	0
2025.02.12	13:00:00	7.31327	7.31437	7.31287	7.3136	0	0	0
2025.02.12	13:15:00	7.31362	7.31387	7.31276	7.3134	0	0	0
2025.02.12	13:30:00	7.31339	7.31365	7.31152	7.31359	0	0	0
2025.02.12	13:45:00	7.31352	7.3137	7.3127	7.31339	0	0	0
2025.02.12	14:00:00	7.31339	7.31365	7.31281	7.31345	0	0	0
2025.02.12	14:15:00	7.31345	7.31406	7.31295	7.31336	0	0	0
2025.02.12	14:30:00	7.31337	7.31421	7.31315	7.31374	0	0	0
2025.02.12	14:45:00	7.31374	7.3149	7.31324	7.3144	0	0	0
2025.02.12	15:00:00	7.3144	7.315	7.31237	7.31324	0	0	0
2025.02.12	15:15:00	7.31322	7.31541	7.31297	7.31409	0	0	0
2025.02.12	15:30:00	7.3134	7.3234	7.31316	7.31836	0	0	0
2025.02.12	15:45:00	7.31831	7.32144	7.31771	7.3192	0	0	0
2025.02.12	16:00:00	7.31921	7.32067	7.31603	7.31651	0	0	0
2025.02.12	16:15:00	7.31652	7.31771	7.31435	7.31435	0	0	0
2025.02.12	16:30:00	7.31434	7.31647	7.314	7.31585	0	0	0
2025.02.12	16:45:00	7.31585	7.31678	7.31501	7.31579	0	0	0
2025.02.12	17:00:00	7.31579	7.31863	7.31568	7.31863	0	0	0
2025.02.12	17:15:00	7.3186	7.31886	7.31204	7.31396	0	0	0
2025.02.12	17:30:00	7.31402	7.31452	7.31027	7.31229	0	0	0
2025.02.12	17:45:00	7.31229	7.31675	7.31184	7.31674	0	0	0
2025.02.12	18:00:00	7.31679	7.31748	7.31429	7.31632	0	0	0
2025.02.12	18:15:00	7.31631	7.3185	7.31585	7.31592	0	0	0
2025.02.12	18:30:00	7.31592	7.31606	7.31414	7.31456	0	0	0
2025.02.12	18:45:00	7.31453	7.31492	7.31051	7.31218	0	0	0
2025.02.12	19:00:00	7.31214	7.31229	7.3037	7.3062	0	0	0
2025.02.12	19:15:00	7.3062	7.30623	7.30316	7.30543	0	0	0
2025.02.12	19:30:00	7.3054	7.30878	7.3044	7.30834	0	0	0
2025.02.12	19:45:00	7.30834	7.30848	7.30379	7.30488	0	0	0
2025.02.12	20:00:00	7.30488	7.30783	7.30392	7.30527	0	0	0
2025.02.12	20:15:00	7.3052	7.30689	7.30409	7.30674	0	0	0
2025.02.12	20:30:00	7.30674	7.30907	7.30638	7.30881	0	0	0
